id,satisfaction,intention_achat,prix_percu,plaisir,naturalite,confiance,ancrage_local,usage_numerique,sensibilite_env,attention_prix,contrainte_temps,cuisine_maison,lecture_labels,achat_local,ouverture_innovation,usage_appli_alim,preoccupation_sante,autonomie_alimentaire,confiance_labels,type_produit,budget_contraint,sexe,age_classe,lieu_achat,profil_alim,commentaire
1,5.0,2.5,5.6,5.5,7.2,5.1,7.6,5.7,6.1,4.1,8.8,4.7,4.3,2.8,4.6,1,4.6,6.0,2.7,local,fort,homme,18-25,producteur,engage,Je n'ai pas toujours le temps de comparer les labels ou l'origine. L'engagement du produit doit être crédible et concret. Je peux changer d'avis si le bénéfice est clair.
2,5.2,4.3,6.4,6.4,8.7,6.7,8.1,5.1,9,1.2,6.4,5.5,4.1,7.3,6.0,5.9,3.9,3.4,7.5,local,fort,homme,41-60,marche,engage,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. L'engagement du produit doit être crédible et concret. Dans mes achats, je fais attention à la praticité."
3,4.5,5.3,4.6,6.4,6.0,6.6,8.9,5.7,9,2.1,2.5,9,6.5,7.2,4.1,4.5,5.3,7.9,8.1,standard,moyen,homme,26-40,producteur,engage,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. La dimension environnementale compte aussi dans ma décision. Dans mes achats, je fais attention à l'origine."
4,5.7,4.3,6.8,7.5,7.6,8.4,5.1,3.0,8.1,7.9,5.3,4.1,3.7,4.6,6.0,9,7.8,8.0,8.5,bio,moyen,homme,26-40,magasin_bio,intermediaire,"J'utilise volontiers des applications ou des avis pour m'aider à choisir. J'hésite encore selon le prix et la disponibilité. Au quotidien, l'habitude influence beaucoup mes choix."
5,4.1,3.1,4.3,6.1,4.4,5.6,5.6,4.9,7.2,9,8.7,5.1,5.3,5.1,6.8,4.1,5.9,1.8,2.8,standard,fort,homme,26-40,marche,intermediaire,Je n'ai pas toujours le temps de comparer les labels ou l'origine. J'hésite encore selon le prix et la disponibilité. Je peux changer d'avis si le bénéfice est clair.
6,6.0,5.8,2.7,6.0,6.8,7.8,6.6,2.9,4.1,9,5.4,5.8,4.2,6.7,5.0,7.6,6.8,4.0,4.9,standard,fort,femme,26-40,drive,engage,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. La dimension environnementale compte aussi dans ma décision. Dans mes achats, je fais attention à l'origine."
7,5.5,4.0,6.8,6.5,7.1,7.8,5.3,4.7,7.7,5.9,5.4,6.9,7.9,6.8,2.8,3.4,5.4,5.7,6.8,standard,moyen,femme,41-60,magasin_bio,intermediaire,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, le budget influence beaucoup mes choix."
8,4.4,2.4,5.0,7.2,7.5,4.2,5.0,6.1,9,7.7,6.4,6.5,5.5,6.1,1,5.2,6.5,7.2,4.8,standard,faible,femme,60+,marche,engage,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je valorise la transparence et la qualité des informations. Au quotidien, le temps disponible influence beaucoup mes choix."
9,6.1,3.3,7.8,4.9,7.5,7.6,7.5,7.7,8.4,6.2,5.5,5.2,2.5,5.1,8.7,7.9,6.3,3.2,7.0,local,faible,homme,26-40,supermarche,engage,"Je combine plusieurs critères avant de décider. Je cherche une alimentation plus responsable. Pour ce type de produit, j'attends surtout une promesse crédible."
10,6.1,2.5,5.0,5.1,6.8,6.4,3.0,6.1,7.6,4.7,6.1,6.1,6.6,9,3.1,5.7,7.3,6.6,7.2,bio,faible,homme,41-60,marche,intermediaire,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je compare plusieurs critères avant de décider. Je peux changer d'avis si le prix reste acceptable."
11,4.5,1.6,7.0,5.4,8.1,3.0,4.7,5.4,8.0,4.8,5.5,3.3,3.3,6.5,2.1,5.8,7.6,5.1,4.9,bio,moyen,femme,26-40,supermarche,intermediaire,"Je suis ouvert aux alternatives si elles sont pratiques et bien expliquées. J'ai besoin d'informations simples pour me faire une opinion. Au quotidien, le temps disponible influence beaucoup mes choix."
12,4.2,4.3,6.2,5.5,8.2,5.1,7.2,3.8,9,5.9,8.4,4.6,2.3,6.3,7.2,7.1,8.4,2.9,5.2,local,moyen,homme,26-40,producteur,engage,"J'aime découvrir de nouveaux produits et comparer les informations. Je valorise la transparence et la qualité des informations. Pour ce type de produit, j'attends surtout une promesse crédible."
13,5.6,6.0,4.2,4.8,6.9,7.2,7.1,8.6,5.1,4.1,6.0,4.9,5.9,4.5,7.4,7.6,4.2,3.5,7.5,standard,faible,femme,26-40,supermarche,engage,"J'utilise volontiers des applications ou des avis pour m'aider à choisir. L'engagement du produit doit être crédible et concret. Dans mes achats, je fais attention à la confiance."
14,6.1,6.6,5.3,7.2,8.6,8.6,2.9,4.7,8.4,7.1,6.2,3.9,4.1,5.3,3.6,4.6,8.3,5.4,6.2,standard,faible,femme,26-40,marche,intermediaire,"Je privilégie les produits locaux et les circuits courts. Je compare plusieurs critères avant de décider. Pour ce type de produit, j'attends surtout une information claire."
15,3.8,2.7,7.3,6.3,2.4,5.6,4.7,4.3,6.0,7.3,8.8,3.6,3.8,5.3,6.2,5.6,5.0,4.0,5.2,standard,faible,homme,18-25,producteur,pragmatique,Le produit peut m'intéresser si le rapport qualité-prix est bon. Je ne veux pas que cela complique mes courses. Je peux changer d'avis si le prix reste acceptable.
16,5.1,3.2,5.3,7.6,7.2,7.5,6.1,4.7,4.5,5.6,3.0,7.5,8.0,5.8,5.0,2.4,3.8,4.8,6.7,standard,moyen,femme,18-25,marche,intermediaire,"J'aime savoir qui produit et comment le produit a été fabriqué. Je peux être intéressé si je suis suffisamment rassuré. Pour ce type de produit, j'attends surtout une vraie cohérence."
17,4.1,3.9,4.7,5.4,7.4,4.1,6.4,6.5,9,7.0,7.3,3.6,6.8,6.3,1.4,5.5,3.8,4.5,4.4,local,moyen,homme,41-60,marche,engage,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. Je valorise la transparence et la qualité des informations. Je peux changer d'avis si le bénéfice est clair."
18,5.3,6.0,4.9,5.5,8.0,8.4,7.6,6.6,9,4.5,6.4,6.9,6.4,5.9,8.6,8.8,4.5,5.1,6.3,local,fort,femme,18-25,supermarche,engage,J'utilise volontiers des applications ou des avis pour m'aider à choisir. Je valorise la transparence et la qualité des informations. Je peux changer d'avis si les labels sont compréhensibles.
19,4.6,2.3,4.8,6.5,6.4,7.0,4.7,4.0,4.0,5.1,8.5,6.1,4.5,7.7,5.1,2.5,5.4,4.0,6.0,bio,fort,homme,26-40,producteur,pragmatique,L'origine du produit et la saisonnalité sont importantes pour moi. Je choisis d'abord ce qui est accessible et facile. Je peux changer d'avis si l'origine est bien expliquée.
20,3.5,4.1,7.7,5.5,6.2,8.3,6.2,8.2,7.1,7.1,5.8,7.1,4.9,6.9,2.7,7.9,7.3,5.1,6.5,standard,fort,femme,26-40,producteur,intermediaire,J'aime découvrir de nouveaux produits et comparer les informations. Je compare plusieurs critères avant de décider. Je peux changer d'avis si le produit est facile à acheter.
21,5.9,4.3,5.5,3.6,7.3,9,5.8,6.3,5.2,5.5,4.1,6.4,6.9,5.7,5.3,2.4,7.4,6.3,6.9,bio,moyen,femme,18-25,producteur,intermediaire,Je privilégie les produits locaux et les circuits courts. J'hésite encore selon le prix et la disponibilité. Je peux changer d'avis si le produit est facile à acheter.
22,5.7,4.6,6.2,6.0,8.4,8.3,6.3,3.5,5.7,4.6,4.8,7.8,7.1,9,4.0,4.8,5.0,3.8,6.9,local,fort,femme,41-60,producteur,intermediaire,"Je fais attention à la naturalité, aux labels et au lien avec le territoire. Je peux être intéressé si je suis suffisamment rassuré. Au quotidien, la clarté des informations influence beaucoup mes choix."
23,5.5,5.4,7.6,6.8,6.0,7.2,8.2,2.8,7.4,7.8,8.0,4.0,4.8,5.8,5.5,5.4,6.2,3.9,5.4,local,moyen,femme,60+,producteur,intermediaire,"Je choisis souvent ce qui est disponible rapidement et facile à acheter. Je compare plusieurs critères avant de décider. Pour ce type de produit, j'attends surtout une promesse crédible."
24,5.1,4.9,3.0,8.1,4.0,4.8,7.7,1,7.0,7.2,7.4,4.5,4.0,2.4,3.5,2.4,5.2,8.6,5.2,local,fort,homme,60+,magasin_bio,engage,"Je n'ai pas toujours le temps de comparer les labels ou l'origine. La dimension environnementale compte aussi dans ma décision. Au quotidien, le temps disponible influence beaucoup mes choix."
25,4.5,3.6,7.9,5.5,8.7,9,4.1,8.8,9,6.2,7.3,5.8,7.1,3.9,8.4,7.3,6.3,4.2,4.5,bio,fort,femme,18-25,supermarche,intermediaire,J'utilise volontiers des applications ou des avis pour m'aider à choisir. J'hésite encore selon le prix et la disponibilité. Je peux changer d'avis si le produit est facile à acheter.
26,4.4,3.8,4.7,4.2,7.1,5.6,5.5,9,8.1,6.4,5.0,8.2,5.8,6.2,7.2,8.4,5.3,8.0,6.2,standard,moyen,femme,18-25,supermarche,engage,"Je combine plusieurs critères avant de décider. La dimension environnementale compte aussi dans ma décision. Au quotidien, le budget influence beaucoup mes choix."
27,4.8,4.5,4.2,5.4,6.3,7.0,4.9,8.7,3.6,5.3,2.4,7.2,6.1,5.3,5.1,8.9,4.6,6.0,5.4,standard,moyen,femme,18-25,producteur,pragmatique,"Je suis ouvert aux alternatives si elles sont pratiques et bien expliquées. Je choisis d'abord ce qui est accessible et facile. Pour ce type de produit, j'attends surtout un produit facile à trouver."
28,7.2,5.0,6.0,4.5,6.0,4.9,6.5,6.0,5.7,5.4,8.0,2.1,4.7,6.3,5.3,8.4,4.5,5.9,3.2,local,faible,femme,26-40,magasin_bio,intermediaire,"Je combine plusieurs critères avant de décider. J'hésite encore selon le prix et la disponibilité. Au quotidien, le budget influence beaucoup mes choix."
29,6.3,4.2,7.6,5.7,6.6,6.5,5.8,4.0,8.4,6.8,5.9,9,5.5,5.7,1.1,6.1,5.7,6.5,6.3,bio,moyen,femme,41-60,magasin_bio,intermediaire,Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. J'ai besoin d'informations simples pour me faire une opinion. Je peux changer d'avis si l'origine est bien expliquée.
30,4.3,2.6,5.7,4.7,8.0,5.8,4.7,4.5,6.7,6.5,5.8,6.6,6.0,3.6,6.3,5.2,2.2,2.3,2.7,bio,moyen,homme,18-25,supermarche,intermediaire,"Le produit peut m'intéresser si le rapport qualité-prix est bon. Je peux être intéressé si je suis suffisamment rassuré. Pour ce type de produit, j'attends surtout une promesse crédible."
31,5.0,5.3,8.7,5.3,5.3,3.4,4.4,6.4,8.0,8.0,4.2,3.9,7.1,4.8,5.2,4.3,6.1,3.8,3.8,local,moyen,femme,26-40,supermarche,pragmatique,"Je regarde surtout le prix et le côté pratique. Je ne veux pas que cela complique mes courses. Dans mes achats, je fais attention à la santé."
32,6.1,5.3,5.0,6.2,8.6,5.3,4.3,5.5,9,6.6,5.1,4.7,9,7.7,6.3,4.4,8.6,7.9,6.1,bio,faible,homme,26-40,supermarche,engage,"Je suis prêt à faire un effort si le produit est cohérent avec mes valeurs. L'engagement du produit doit être crédible et concret. Dans mes achats, je fais attention à la praticité."
33,4.9,4.8,7.8,4.5,6.0,7.3,6.0,7.1,7.2,5.7,6.2,1.7,6.1,5.7,5.7,3.7,4.8,4.7,3.9,local,fort,homme,18-25,supermarche,pragmatique,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. Je ne veux pas que cela complique mes courses. Je peux changer d'avis si le prix reste acceptable."
34,5.2,6.0,2.5,4.8,6.8,4.5,5.3,6.6,6.5,4.2,4.0,6.9,8.1,5.5,6.2,4.4,5.4,4.4,4.3,bio,moyen,femme,41-60,marche,engage,L'origine du produit et la saisonnalité sont importantes pour moi. Je valorise la transparence et la qualité des informations. Je peux changer d'avis si les labels sont compréhensibles.
35,5.8,4.4,4.7,7.2,5.5,9,4.4,4.6,4.5,7.2,6.6,8.1,3.8,4.9,6.9,6.1,7.3,2.8,7.0,standard,moyen,femme,26-40,supermarche,pragmatique,Je teste facilement de nouvelles offres quand les informations sont claires. Je choisis d'abord ce qui est accessible et facile. Je peux changer d'avis si le bénéfice est clair.
36,5.6,4.3,6.6,7.0,5.1,6.1,3.1,7.1,4.5,4.3,5.4,5.7,3.3,6.3,7.3,9,6.9,3.2,3.7,bio,faible,femme,26-40,drive,pragmatique,"Je combine plusieurs critères avant de décider. Je ne veux pas que cela complique mes courses. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
37,4.7,3.6,8.4,7.0,7.0,8.6,4.6,5.7,5.1,4.2,5.7,7.5,6.1,4.7,3.3,3.2,7.1,4.2,7.4,standard,faible,femme,60+,producteur,pragmatique,"L'origine du produit et la saisonnalité sont importantes pour moi. Mais le prix reste un critère important. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
38,5.6,5.7,3.9,5.2,6.0,7.5,7.5,2.6,8.9,6.4,6.7,1,5.1,4.5,6.2,4.4,6.0,7.3,7.8,local,fort,femme,41-60,supermarche,engage,"Je veux bien changer mes habitudes, mais seulement si cela reste simple. La dimension environnementale compte aussi dans ma décision. Pour ce type de produit, j'attends surtout un bon équilibre entre prix et qualité."
